comment,num_of_likes,reply_count
Mrbeast just bought a property in Egypt,2,0
It beautiful,2,0
TÜRKLER BURAYA                                                                                                                    👇,2,0
جاءت مصر ثم جاء التاريخ,2,0
🕉️🙂 Oldest religion,2,0
تحي فلسطين❤,2,0
The population of Egypt is Arabs. Arabs have nothing to do with the construction of the pyramids.,2,0
kayzer abi buradayız 🇹🇷🇹🇷🐺🐺🐺,2,0
Vm granmisterio te saluda,2,0
100 hours and we get 20 mins 😅,2,0
VM Granmisterio greets you,2,0
الله,2,0
This video is so disrespectful,2,0
The Egypt 🇪🇬 ❤,2,0
これを翻訳したらいいねをお願いします!!,2,0
لسه شايفه الفيديو على التليفزيون جيت اسمعه هنا 😂,2,1
المصريين لايك هنا علشان نعرف عددنا بس 😂😂,2,0
VM granmisterio te saluda!!!!!,2,0
A Greek adventure,2,0
يا جماعه عليا مدرسه بعد ساعتين ونصف ولسه ما نمتش ادعولي  مفروض استحي علي دمي وانام واسيب التلفون باي 😂❤,2,0
عاش اهل مصر اخو كم من السعوديه,2,0
بكل صراحة هده ستكون دفعت قوية لسياحة المصرية ولتنمية . حركة مراكوتينغ مميزة من الدولة المصرية . تحياتي لعبد الفتاح السيسي مخلص مصر من غرور تجار الدين . تحيا مصر وكل التقدير لشعب المصري العظيم دايما مميز عبر التاريخ. اخوكم مغربي,2,0
اخيرا عرف يحط فلوسه بالمكان الصحيح,2,0
ミスタービースト好きな人,2,0
@vmgranmisterio te saluda.,2,0
Brasil 🇧🇷,2,0
Saludos de VM GRANMISTERIO!!!,2,0
I love your Kosher festival chocolate so much thank you❤❤❤❤❤❤❤❤❤❤,2,0
Türk varmı,2,0
لا اله الا الله محمد رسول الله,2,0
I'm here before the 100 million. ❤,2,0
UV Granmisterio sends you greetings!!!!,2,0
Come to Iraq,2,0
그런놈이 여긴 왜와,2,1
Can Amir deliver in here,2,0
I bought a property in Egypt...,2,0
✌🏻✌🏻✌🏻✌🏻🫨🫨🫨🫨💸💸💸💸,2,0
VM Gran Misterio te saluda! 🇦🇷🇦🇷🇦🇷,2,0
hello people,2,0
"WOW, great content, this will be history. 🤩",2,0
وينكم يا عرب 🇪🇬,2,0
Egypt,2,0
بجد تحفة,2,0
بلدي مصر أحلى بلد في الدنيا.. نورت مستر بيست,2,0
VMGranmisterio te saluda!,2,0
Как всегда интересный контент,2,0
مصر 🇪🇬 ارض الحضاره والتاريخ,2,0
Under 35min😅👇🏽,2,0
"@VMGranmisterio, puede explicarte lo que no te dijeron",2,0
Vm gran misterio te saluda,2,0
V M Gran misterio te saluda,2,0
VMgranmisterio te saluda,2,0
Shock shock shock>> love ittt🔥,2,0
brain eating amoeba in the water ?? no sunlight and it’s still,2,0
هو ازاي في القناه الكلام عربي ؟!,2,1
Why do u really think aliens built it? 🤔👽,2,0
Most most most favourite video i ever seen ❤❤❤❤,2,0
فعلتها من قبلك ياجيمي ولاكن للاسف لم يسمح لي بدخول كل الاماكن دي 🤦‍♂️,2,0
Why do you really think aliens built it?🤔👽,2,0
This is the best video Mrbeast ever made.,2,0
شغل السياحة شغل 😂❤,2,0
انا اردني وفخور جداً في مصر تحياتي لهم فخر الحضارات 🇯🇴❤️🇪🇬,2,1
Mrbeast beast space project in the future I’m calling it 🔒🗣️,2,0
@Vmgramisterio te envia saludos,2,0
Vm gran misterio te saluda,2,0
Сколько же они недоговаривают...,2,0
espera que ?,2,0
❤ from 🇮🇳,2,0
türk varmı,2,0
فيديو خره شنو الجديد ودفعت فلوس المصر علمود تدخل بداخل الهرم لو جاي مواطن عادي جا شفت نفس الشي,2,4
‏‪21:36‬‏ 😂😂😂😂😂 اشترك لمحمد البرعي 😂😂😂😂😂 الي دبلج الفيديو الحق ياجيميالي دبلجلك الفيديو استغل أنك مبتعرفش عربي وقال إن نشترك في قناتو😂😂😂,2,0
"Greetings from Azerbayjan, we follow you with love 🇦🇿",2,0
Great video of all time ❤❤,2,0
"Stp viens aux Burkina Faso stp , ? Je veux veux que tu m'aide à été un boxeur je veux faire tt pour arriver stppppppppp😢",2,0
தமிழ்ல பேசுற மாதிரி தயவுசெய்து வைங்க தமிழ் மட்டும் மொழி இல்லையா தமிழ்தான் இந்த உலகத்தில் பழமையான மொழி தமிழ் மொழியை வை எங்கள் தயவுசெய்து பேசுற மாதிரி ி தமிழ்ல அந்த இது வைக்கிறீங்க வைக்கவே மாட்டாங்க ப்ளீஸ் 😢😢😢❤❤❤❤,2,0
COME TO NEPALL 🇳🇵,2,0
انا من القاهره من الجيزه بن حياه كلنا يا مستر بيس,2,0
WELCOME TO EGYPT. مرحبا بك في مصر 🙏🙏🤝🤝🖐🖐,2,0
Cadê a tumba de Tutancâmon,2,0
هو الفديو بقا بالعربي ازاي؟؟؟,2,2
Under 24 hours gang 👇🏻,2,0
Indonesia 🇮🇩🇮🇩,2,0
8:03 islam bro,2,0
Loved this video very informative,2,0
Welcome to Egypt 🇪🇬❤,2,0
"❤Egypt, Mister Best, thank you for the beautiful video",2,0
@VMGRANMISTERIO TE SALUDAAAAA,2,0
Next video: exploring Mars 😂,2,0
Erownie abimizi engellemişsin hadi beni de engelle 😠 TÜRKLER BURADA MI?,2,1
Joss ❤🇧🇩,2,0
استمر يا مبدع,2,0
Nice,2,0
Türkler burda mı,2,0
"I ❤ you, bro ❤️❤️🥰🥰",2,0
Kayzer abi burdayiz🇹🇷,2,0
"انا مصري وروحت قبل كدا وعمري م شوفت حاجات دي 😂🫣 
شكرا ليك💙💙",2,0
"فديو بدل ما يكون الغرض منه فخر اتحول إلي سخرية وكره وحقد بين تعليقات العرب.
يعني الأجانب شغالين يمدحوا في التعليقات واخوانا العرب بيذموا؟ أيعقل وياريت ميجيش أي متخلف دلوقتي ويقولي إحنا مش عرب لإن انتم أساس الفتنة والكره والحقد، بدأت الحكاية بذباب إلكتروني ثم تطور الوضع إلي أن بقي في قطيع فعلا بيمشي ورا الرأي ده، علي فكرة فخر لأي حد أنه يكون عربي وانا كمصرية فخورة إني عربية ❤❤
افهموا يا عرب إن في الاتحاد قوة وفي التفرقة ضعف فملوش لازمة اللي انتم بتعملوه ده وبعدين الفديو عن اهرامات مصر فمفيش داعي حضرتك تاجي تقول لا حضارة بلادي أقدم
وبعدين توضيح هام الحضارة المصرية ليست أقدم حضارة في العالم ولكنها الأقوي والأعظم والأفضل والأغني في التاريخ وفي دراسات واثبتات بتثبت كدة ده غير ان صنف جزء من الحضارة العظيمة دي وهو الأهرامات التلاتة دول ضمن عجائب الدنيا السبع فأكيد مش حطوها ضمن العجائب بالرشوة يعني طبيعي انها تكون أفضل من اللي متحطش، واخيرا وليس آخرا حضارة مصر العظيمة مش جاية عليكم بالسوء ولا أذتكم فليه حضارتكم متحسسين وبتنكروا ده في التعليقات؟
اللي عنده كلمه حلوة يقولها واللي معندوش يفضل ساكت ويحتفظ بكلامه اللي ملوش معني لنفسه 😊❤",2,0
This video was totally Egyptoable. Next video Machu Picchu?,2,0
This might be the coolest mrbeast video ever/ best video ever,2,0
فخوره اني مصريه❤️,2,0
This is cool,2,0
Türklər burda mısınız ?❤,2,0
"Im so proud of being egyptian , and how our ancestors, the Pharaohs, built the oldest and greatest civilization throughout history.",2,0
{ إِنَّ اللَّهَ وَمَلَائِكَتَهُ يُصَلُّونَ عَلَى النَّبِيِّ ۚ يَا أَيُّهَا الَّذِينَ آمَنُوا صَلُّوا عَلَيْهِ وَسَلِّمُوا تَسْلِيمًا }📿🤲🏻,2,0
Make me famous,2,2
El maldito dinero puede hacer lo que sea,2,0
VM Gran Misterio te saluda,2,0
i’m surprised you didn’t find any vampires with crazy powers or anything,2,0
جيت بعد ذبت ابو مشواح☺️,2,0
I bought a prorty in egypt,2,0
I’m in grade6 and last year we did the pyramid of Giza,2,0
احلا مسا عليك يا خويا مستر بيست نورت مصر بس انت نسيت الايفون بتاعي انا باعتلك حسابه علي محفظة فودافون كاش لو الجمارك اخدو منك قولي انا معايا وسطه وهعرف اجيبه,2,0
The next pandemic is coming from that pool...,2,0
Wow😮,2,0
Cambodia nezt,2,0
"Next, visit the Borobudur temple in Indonesia, which is also full of history and mystery",2,0
🇧🇩🇧🇩🇧🇩❤️❤️,2,0
The pyramid are very big,2,0
Türk varmı beyler,2,1
bro the gold is gone,2,0
Türk var mı,2,0
انا كمصري والله عمري ما رحت للاهرمات اصلا😂,2,0
الناس الي عايشه في مصر 🇪🇬👇.,2,0
سبحان الله وبحمده سبحان الله العظيم ❤,2,0
VM gran misterio.... Te saluda ....,2,0
이집트인들 진짜 대단하다.... 이 영상도 유튜브의 순기능인듯. 역대급이야,2,0
Vm gran misterio te saluda😉,2,0
! VM GRAN MISTERIO TE SALUDA !🍀🍀,2,0
"@mohamedelboraiy  
لا صايعة يسطا اخر حتة في الفيديو دي  ، عاش ولله😂❤",2,0
Kya meri madat koro ge bro ❤❤❤❤,2,0
جاءت مصر ثم جاء التاريخ❤🇪🇬,2,0
@VMGranmisterio te saluda bro.,2,0
@VMGranmisterio says hello to u 😎,2,0
Hello Türkler burda mı 😁,2,0
@VMGranmisterio   te saluda 🇪🇨,2,0
"Первый раз смотрю видео биста, откуда столько миллионов? 😬🫠 Почему видео на русском?",2,1
VM GRAN MISTERIO TE SALUDA,2,0
Vm granmisterio te saluda!,2,0
Vm misterio te manda saludos,2,0
@VMGranmisterio te saluda desde España,2,0
9:24  you can build anything 😂,2,0
Vm granmisterio te saluda!,2,0
الي يشوف تعليقي جعل امك و ابوك بالجنه يارب قولو امين,2,1
برعي صوتك منور 😂❤❤❤❤❤❤,2,0
vm gran misterio te saluda jajajaja y no me creo que pasaran 100 horas alla para un video de 20 minutos jajajaj,2,0
ماشي يا برعي,2,0
Türk varmı yaa🇹🇷🇹🇷🇹🇷,2,0
"100 Horas en el espacio
100 Hours in Space",2,0
Really I'm very proud because I am from Egypt,2,0
Zahi Hawass is one of the most hated people in archaeology,2,0
Vm granmisterio te saluda,2,0
I love the increased quality in the videos from 1080p to 4k,2,0
Vm granmisterio te saluda,2,0
انا من مصر وده اعظم الفيديوهات اللي عملها مستر بيست ومصر صاحبت اعظم حضارة في التاريخ❤❤,2,0
"مصر ام الدنيا 🇪🇬مصر الجميلة الساحرة ❤شكرا لك جيمي سعدنا بوجودك وشعرنا بحبك ❤
في انتظارك مرة أخرى 🌹🌹🌹🌹🌹🌷🌷🌷",2,0
What about area 51 👽,2,0
Greetings from vm gran misterio,2,0
Welcome to Egypt ❤ I'm very proud because I'm Egyptian ❤,2,1
I already escribed 🤣,2,0
Vm granmisterio te saluda 👋,2,0
Türklerindir burdamıyız,2,0
From Bangladesh,2,0
بتوع الافروسنتريك بيبكوا ويعيطوا ف التعليقات,2,0
هذه هى مصر  الماضى والحاضر  .... عندما تغوص فى الماضى تنبهر بما تراه وتجن ولا تصدق,2,0
"I put cola in the fridge, remind me so it doesn’t freeze.

Dolaba kola koydum, hatırlatın da donmasın.

Puse una Coca-Cola en la nevera, recuérdame para que no se congele.

وضعت كولا في الثلاجة، ذكرني حتى لا تتجمد.",2,0
"Te saludamos de parte de @VMGranmisterio, kind regards Conde de Saint-Germain",2,1
Muy bueno,2,0
الدبلجة المصرية افضل بكثير من الدبلجة العربية الفصحة 😅❤,2,0
Türk varmı,2,1
أنا مصري، ويجب أن أقول إن هذا هو أفضل عمل لك على الإطلاق. هذا مذهل,2,0
Money buys anything,2,0
فى الدقيقة ١٢ بيقول بطريقة ما اقنعنا الحكومة المصرية بالسماح بركوب المروحيات. انا عارفة ايه هى الطريقة 😉,2,0
❤❤❤,2,0
Hello,2,0
WOW REALLY?,2,0
めちゃくちゃ面白い。またいい企画をたのしみにまっています,2,2
O meu celular pifou então eu tô falando aqui pelo celular da minha mãe😢,2,0
Te saluda vmgranmisterio :),2,0
Hello,2,0
Türkler burda mıııı 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷,2,0
انتم في مصر الآن😮ام الدنيا💪,2,0
@VMGranmisterio te saluda !✌🏾,2,0
Türkler buradamı,2,0
Kim Tự Tháp quá đỉnh,2,0
"El canal ""VM GRANMISTERIO"" te saluda!!!!",2,0
"""Why am I here? I'm a Youtuber"" pretty much sums this whole thing up",2,0
VM Gran Misterio te saluda!,2,0
@VM Granmisterio,2,0
The best YouTuber. Love from Egypt 🇪🇬 ❤🎉,2,0
"VM Gran Misterio, te saluda......",2,0
Work hard until they think aliens did it.,2,0
@VMGranmisterio te saluda,2,0
Vm gran misterio te saluda,2,0
"не надо искать жену для Нолана!
я его женаааа",2,0
😊😊😊😊😊😊😊😊,2,0
مستر بيستاي لافيو ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,0
HOW ❤,2,0
بلادي ❤🇪🇬🫶,2,0
Best creator in the world,2,0
ive only watched about 30 seconds of this video and i can already tell theres a TON of tight spaces. I'm a little claustrophobic,2,0
Vm gran misterio te saluda!,2,0
I Escribed,2,0
vraiment de la merde la voix des doublages,2,0
شعور جميل واحساس بالفخر ان أجدادنا هم بناه الأهرامات والحضارة العظيمه دي🇪🇬❤,2,0
Wow👏🏻👏🏻👏🏻,2,0
"Thanks for so much information, great, congratulations 🌹❤️",2,0
المصريين فين🇪🇬 ؟,2,0
Epicc👌👌,2,0
كأنه فيلم خيال علمى لا تمل من مشاهدته,2,0
مصر أم الدنيا,2,0
Plss stay at Egypt I'm traveling there in some few days,2,0
Hello I’m from Cambodia 🇰🇭 ❤,2,0
مصر عظيمه وتاريخ عريق  ❤❤❤,2,0
Türkler burada mısınız,2,0
"Wow dude!! you're the best 
This really the best adventure i have ever seen.",2,0
Vm granmisterio te manda saludos,2,0
АХААХАХАХАХАХ РЕАЛЬНО Я БЫ ЛУЧШЕ СДЕЛАЛ,2,0
Türkler nerdesiniz 🇹🇷🇹🇷🇹🇷🇹🇷,2,0
سمحو لك بتصوير الاهرامات لانك دفعت مبلغ كبير جداً,2,2
"من المالك مباشرة الوسطاء يمتنعون 

🏘️شقه لقطه للبيع في مدينة المستقبل القاهرة  بجوار مدينة الشروق
⬅️مساحه ١٢٠ م
⬅️دور ثالث بحري شرقي
⬅️٣غرف نوم من ضمنهم غرفه ماستر 
⬅️١ حمام مطبخ 
⬅️بجوار القصر
⬅️ تشطيب  كامل 
⬅️موقع متميز ومكان جميل جدا",2,0
It's Ancient Egyptian civilization not pharaohs ❌❌,2,0
Bro bought a property in Egypt 😭😭😭,2,1
"Jajaja ""de alguna manera.."" re sinsero xD",2,0
Vm Granmisterio te mando SALUD,2,0
Нереальный кантент🎉,2,0
واو ❤,2,0
VM Granmisterio te saluda!! 👋🌚 VM Granmisterio sends you greetings!!,2,0
¡Vm granmisterio say hello! 👋,2,1
Best video ever,2,0
عاوزة ادخل انا كمان,2,0
"❤The best content maker in the world, your follow -up from Yemen",2,0
TommyInnit was right,2,0
Why do you guys always have to scream and yell tho? It’s unnecessary,2,0
"اكاذيب التاريخ كتبها الأقوياء 
لكن التاريخ الحقيقي كتبه الانبياء",2,0
Welcome in Egypt and thank you for this video,2,0
VM GRAN MISTERIO 🤯,2,0
VM gran misterio te saluda 👋,2,1
انا مصري 🇪🇬 وافتخر  I am Egyptian and proud,2,0
مصر جاءت ثم جاء التاريخ 🇪🇬❤,2,0
"The most beautiful thing I have ever seen , Egypt The most beautiful countries of the world , Welcome to Egypt , Welcome to the world😍",2,0
بصراحة حاجة مشرفة جدا🤗🤗🇪🇬🇪🇬 تحيا مصر 🇪🇬🇪🇬,2,0
PUNTO ORG Y YO TE SALUDAMOS 👽🛸,2,1
شكرا جيمي لزيارتك مصر 🇪🇬 وإعلم جيدا ان هذا شرف كبير لك,2,0
المصريين يثبتوا وجودهم🫡🇪🇬,2,0
Nobody talking about how the water could have amoeba in it,2,0
Allah hu ekber❤❤❤,2,0
Assalamualaikum,2,0
"We, the great Egyptians, Egypt came first, and then history was made",2,0
🇰🇷🖐️,2,0
Vm granmisterio te saluda,2,0
VM GRAN MISTERIO talked about this,2,0
@VMGranmisterio te saluda!!!! 👋,2,0
فخورين بك يا برعي,2,0
"I'm from Egypt 🇪🇬
انا من مصر 🇪🇬",2,0
Türk var mı alooo,2,0
لا إله إلا الله الآن رح يصير بدهم يستعمروا مصر 😂 هدول الناس أي شيء يعجبهم يريدون يستوطنوه 😂😂😂😂 اللهم استر يا رب 🤲🏼,2,0
VM granmisterio te saluda 👋,2,0
LOVE  YOU @MtBeast✅✅✅,2,0
Record du monde ❤️,2,0
يامرحب بك في مصر,2,0
VM  Granmisterio te saluda,2,0
"WHY ARE CHOCOLATES SO EXPENSIVE AND TASTE AS 0$ CHOCOLATE, BRO",2,0
Some info about these pyramid in Quran,2,0
日本人の人いる？,2,0
Thanks,2,0
VMGRANMISTERIO te saluda,2,0
VM Gran Misterio te saluda!,2,0
"This is very wonderful, I am Egyptian and I am proud of that",2,2
VMGranMisterio te saluda,2,0
من ربك,2,0
Hola uvm gran misterio te sauda 😮,2,0
So nice,2,0
مفيش تحديات بقي من ااجمال بتوعك يا مستر بيست في مصر 😂😊,2,0
❤❤❤❤❤,2,0
Собака поднялась выше.,2,0
"اللَّهُمَّ،صَلِّ،وَسَـــلِّم، على سيدنا نَبِيِّنَـــا وحبيبنا وشفيعنا مُحمَّد 🕊️ 
*لا تحزن إذا أرهقتك الهموم وضاقت بك الدنيا بما رحبت فربما أحب الله أن يسمع صوتك وأنت تدعوه*🕊️
*الـلَّـهـم كـن لأمـنـيـاتـنـا مـجـيـبًـا و لـضـعـفـنَـا سـنـدًا و لإنـكـسـارانـا جـابـرًا🕊️",2,0
سعيده وفخوره كون عدنا شعب عربي متحضر يارب المستقبل القادم يعله اسم مصر اختكم من العراق 🇮🇶🇪🇬,2,0
شرح الله صدر كل من صلى على النبي محمد صلى الله عليه وسلم ❤,2,0
بجد انا فرحانه ان مصر 🇪🇬  اتشهرت جدا والناس حبينها ❤❤❤مصر ام آلدنيآ  ❤❤❤,2,0
I am proud to be Egyptian ❤️🇪🇬🫡,2,0
Vm Gran misterio te saluda 😊😊😊,2,1
تحفة بجد ماشاء الله،  ربنا يحفظ مصر 🇪🇬 ❤❤,2,0
The greatest youtuber in the greatest place 🇪🇬❤🤝,2,0
Deberían venir a Bolivia y sobrevivir en el salar de Uyuni,2,0
Wait you in the pyramids now,2,0
Under 2 hour gang👇,2,0
بجد فخور انا مصري وافتخر,2,0
Bro 5:25 it's still water 😭,2,0
UNDER 1 HOUR GANG😎😎😎🥳🥳🥳👇,2,0
You just changed the world.,2,0
The best video ever 💯👌🏻💎🥰,2,0
"Der absolute Lebenstraum den ihr da haben durftet, ich liebe dieses Thema altes Ägypten. Ihr seit echte GLÜCKSPILZE",2,0
❤❤❤,2,0
Escribe! ❤️,2,0
¡VM Gran Misterio te saluda!,2,0
VM Gran Misterio te saluda!!! 🕵🏼‍♂️,2,0
"hallo mister

im form indonesia🇮🇩🎉",2,0
مصر ❤,2,0
🇾🇪,2,0
"As an Egyptian, this is the first time I see and hear about the things shown in this video! Honestly, this is one of the best videos you've ever made. ❤❤",2,0
كلو يعمل عشر تعليقات على الاقل شجع بلدك ❤,2,0
I'M CRY 😭 WORLD BEST YOUTUBERS IS MRBEAST🥺,2,0
Amenti,2,0
Under 1 hour gang👇,2,0
"Very nicely about the pyramids of Egypt, thanks for the video,",2,0
مصر هي التاريخ❤,2,0
وبكل فخر انا مصري ❤🇪🇬,2,0
The amount of b roll from this trip would be amazing,2,0
"Mrbeast, it's gotten to the point where you can simply visit all of the pyramids! ❤",2,0
One hour club,2,0
LOL انا من السعودية 🇸🇦  وهذي و ‏‪11:53‬‏ ‏‪ الأمنيه,2,0
بلدنا طلعت فشيخة,2,0
Altını almaya gideriz,2,0
"We believed this was a burial chamber, then we found this room and this must have been the burial chamber, then we found another burial chamber.  But they were all decoys!  Are you kidding me?  It's obvious that these were not burial chambers...",2,0
❤❤❤❤,2,0
اللهم صل على سيدنامحمد على آل محمد كما صليت على ابراهيم وعلى ال ابراهيم وبارك على سيدنا محمد وعلى آل محمد كما باركت على ابراهيم وعلى ال ابراهيم في العالمين انك حميد مجيد ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,0
جربو وانتو حطين الفيديو باللغه العربيه المصريه موتت اسمها العربيه الثانويه موت والله 😂😂,2,0
VM gran misterio te saluda,2,0
*Brendan Fraser has joined the chat*,2,0
Under 1 hour gang 👇,2,0
الافضل,2,0
nice video broo!!,2,0
6:14 cave diver moment,2,0
انها مصر يا ساده 😍❤❤❤❤❤❤🇪🇬' ‏ ‏‪,2,0
المصري يحط لايك عايز الكومنت بتاعي يكون اول واحد في الفيديو ونشوف قد اي مصريين ❤🇪🇬,2,0
0:00 somehow😅,2,0
كل هذا الذي تشاهدونه جزء بسيط من منجزات الحضارة المصرية القديمة اعتقد ان مصر تحتاج عشرات الأجزاء حتى تستطيع أن تغطي الثقافة3المصرية القديمة,2,0
He bought property in egypt,2,0
Mujhe bhi le lo bahi,2,0
السعودية بتدفع الي وراها وال ادمها عشان تعمل اعلانات لسعودية وتجيب ممثلين وتديهم ملايين الدولارات ويجي اشهر يوتيوبر يجي مصر ببلاش ويعمل كمان فلم وثائقي 😂😂,2,0
Very nice,2,0
You are the best,2,0
"We need an extended cut of this, must be hours worth of cool content",2,0
‏‪1:27‬‏ كفو الي يدعم قضيت العرب (طروووقي)❤❤❤😂,2,0
"Gracias señor bestia, siempre había querido conocer las pirámides por dentro y gracias a ti y al gobierno de Egipto lo pude hacer en este vídeo, estoy muy agradecido",2,0
ياريت يكون في فيديوهات كتير كده مننا كمصريين لحضارتنا العظيمة 🇪🇬❤️,2,0
اول الساعات وينكم ياعرب 💪🇪🇬🇵🇸,2,0
"TÜRKLER BURADA MISINIIIZ
(erownie abi icin attım)
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷",2,0
so amazing😲,2,0
Amazing,2,0
Welcome to Egypt ♥,2,0
Wow ي جدعان بس رعب😂❤❤❤,2,0
غغغغ احة😂😂,2,1
Hello,2,0
دعاية وأعلان لمصر ببلاش ❤,2,0
•~YoU CAn BUilD peRAmIds yOu CAN DO anyThInG~•,2,0
"مصر 🇪🇬
مصر 🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬ام الدنيا❤",2,0
5:12 Stillwater😱🥶😤,2,0
"مصر 🇪🇬
مصر 🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬🇪🇬",2,0
Mình nghĩ chỉ có người ngoài hành tinh hoặc người khổng lồ mới xây được những kim tự tháp khổng lồ và những viên đá to chồng lên nhau như vậy,2,1
🇪🇬🇪🇬🇪🇬🇪🇬❤,2,0
"This was exactly what I needed, thanks!",2,0
We need an extended cut of this must be 24 hours worth of cool content,2,0
This is amazing. I am proud to be Egyptian,2,0
21:35 'Escribe' 😂😂,2,0
The best video ever,2,0
simplesmente INCRÍVEL,2,0
ازاي ده يا سطا 😂,2,0
สวัสดี❤ จากไทยแลนด์,2,0
I love youuuiuuu Mrbeast ❤❤❤❤❤❤❤❤❤❤❤,2,0
تخيلوا لو بيحصل تعليقي مليون لايك😢 صلوا على الحبيب❤❤,2,0
คนไทยที่ดูอยู่+++++,2,0
Egypt is beautiful and Egyptians even more 🫶❤️,2,0
حقيقي فخوره بحضارتنا ❤❤❤,2,0
I am turkish,2,0
You came to the right place and you made a historical video that will be remembered for years and centuries ❤🇪🇬,2,0
This kind of video needs an uncut version cause the format doesn't really work for the type of content :(,2,0
ㄷㄷ,2,0
The only reason the pyramids are still in Egypt is that they are just too big to carry.,2,0
جيش  مصر  فين,2,0
Türk varmı alo,2,0
Vg gran misterio te envia saludos !!!!,2,0
مين هنا مصري 🇪🇬,2,1
ビーストさんたちスゴすぎ😮,2,0
مصر هتبقي ف حته تاسعه,2,0
I'm Egyptian,2,0
No aliens,2,0
انا مصرى,2,0
جامد انا من مصر,2,0
Egypt  🇪🇬🔥😊,2,0
صلي على الحبيب محمد ❤,2,0
4 days,2,0
المقطع المنتظر🫡🇸🇦🤍,2,0
Incrível 🤯,2,0
😮,2,0
El video se siente vacío por alguna razón,2,0
😢❤🎉,2,0
المصريين يحضروا هناااا 😂,2,0
Very wonderful experience.❤,2,0
I would NOT be swimming in the ancient still water ✌😭,2,0
"as Egyption, I am honored of this work",2,0
"I just subscribed, I’m from Mexico.
Thank you for showing all those majestic pyramids.
I just subscribed hahaha 😂🎉”

Me acabo de subscribir, soy de México
Gracias por mostrar todas esa a pirámides Majestuosas 
Me acabo de subscribir jajaja 😂🎉


Ya vi tu video por muchas veces🫠🫠",2,0
Amazing ❤,2,0
Heh somehow,2,0
o ΠΑΝΑΓΙΩΤΗΣ ΑΝΔΡΩΝΗΣ βανδαλιζε 150 χρονια πριν.,2,0
❤❤❤🎉,2,0
صلو علي النبي,2,0
يعني اجرها 3ايام😂,2,0
@vm gran misterio te saluda,2,0
"Vm granmisterio te saluda XD, gracias a Ivan conocí tu canal Gracias",2,0
نورت مصر ياريت كل الأجانب تيجي تتفرج على جمال مصر❤وكمان لازم تروح نادي الزمالك هو نادي عريق🇵🇪❤️,2,0
Классное видео!,2,0
ضيفوني,2,0
Я тоже хочу быть играть 😢😢1рас?,2,0
Wow 😵,2,0
انا من اليمن واحب مصر واهلها,2,0
"As an Egyptian, this is the first time I see and hear about the things shown in this video! Honestly, this is one of the best videos you've ever made",2,0
Bro wanted to become king that is why he went to Pyramid 😂😂❤,2,3
😮,2,0
❤❤ 21:42  super video,2,0
I follow you from Egypt 🇪🇬🇪🇬❤❤,2,0
"Este comentario se va a perder entre miles de personas que comenten. Pero recuerda que, DIOS TE AMA ❤",2,0
גם מסטר ביסט שם cyc,2,1
مصر جاءت ثم جاء التاريخ 🇪🇬 مرحبا بكم في ام الدنيا ❤️🇪🇬,2,0
"Hello Mister Best, I suggest that you visit Iraq that there is the oldest civilization in the world and has historical cities, the most important of which is Babylon. I hope you visit Iraq. Thank you Mister Best 🇮🇶🇮🇶",2,0
رائع 👏🚀🚀🚀🚀🚀🚀🚀🚀🚀,2,0
¡VM Gran Misterio te saluda! Excelente video 🎉,2,0
نورت مصر كلها🇪🇬❤,2,0
6:00 karl became a cave diver💀,2,0
❤😅,2,0
صوتك بمصري يضحك😂😂,2,0
❤,2,0
😮,2,0
برعااااااااى❤❤❤,2,0
สุดยอดไปเลยครับ,2,0
I am proud to be tall and not being able to enter through the entrance of a 5000 yo structure.,2,0
