comment,num_of_likes
😮,1
"aklıma Jules Verne, dünyanın merkezine yolculuk geldi..",1
I'm afraid to climb this mountain.,1
"MasyaAllah, I like this video, From Indonesia",1
shangdong 山洞,1
"I liked the video without watching it, as a result I was going to like it at the end of the satin video, this is Ruhi Çenet's quality after all",1
ruhi turk oldugun halde sadece turkleri dusunmek yerine tum dunyayi dusunmen ve videolari ingilizce yapman harika,1
Those birds forgot leg day,1
সুন্দর হয়েছে,1
Dünyanın en iyi içerik üreticisi yolunda adım adım,1
Là một người Việt Nam tôi rất vui vì video này,1
"Cảm ơn bạn đã giới thiệu di sản thiên nhiên của Việt Nam ra ngoài thế giới, chúng tôi cảm ơn ngài rất nhiều❤",1
desteğini gösterdi mi bu olaylar için,1
"Pe torto do caralho, nao morreu por um milagre!",1
Fact check your time line 450 million years old lol read Genesis the earth is only 6000 years old 😊,1
"Jules Verne, ""Dünya'nın Merkezi'ne Yolculuk"" okuyanlar, size de biraz tanıdık gelmedi mi?",1
I see where Ice age got its inspiration from,1
Wow,1
Gururumuz🇹🇷🇹🇷🇹🇷,1
please add duration😂❤,1
Việt Nam 🇻🇳🇻🇳🇻🇳,1
"How,are you wearing only sports shoes",1
"From Phong Nha, thank you so much <3",1
Пора переходить на часовые ролики с более подробными путешествиями.,1
I remember the huge lush cave in minecraft!!,1
Massallah gardasima başarıların daim olsun ❤,1
Alan Walker - Alone şarkısında bu mağarayı kullanmıştı. Görür görmez hatırladım. Sende çok kaliteli içerikler üretiyorsun Ruhi kardeşim. Başarılarının devamını dilerim.,1
Consummate ❤❤❤,1
โยวๆ🇹🇭,1
"Vote for amazon rainforest
👇",1
Dünya'nın Merkezine Yolculuk romanını okuyormuşum gibi hissettirdi.,1
"This is truly a wonderful place; I think an entire civilization has been preserved here for millions of years. The question is, when will we finally find out?",1
🇧🇩🇧🇩✊☑️🥳,1
Bản thuyết minh tiếng việt rất tuyệt vời.🎉,1
Je trouve ça dommage de ne pas faire des documentaires d’une heure. J’ai l’impression qu’on survol le sujet et on a pas vraiment leurs impressions,1
Ben seni çok seviyorum ruhi Çenet❤,1
🇦🇿🇦🇿🇦🇿🇦🇿🇹🇷🇹🇷🇹🇷🇹🇷🇦🇿🇹🇷🇦🇿🇹🇷🇦🇿🇹🇷,1
Ruhi is King,1
Who wating new video,1
"salam dari indonesia
kalok bisa kamu datang ke indonesia untuk menjelajah saya selalu menonton mu 👍🙏",1
한국인 모여라,1
BOYKOT,1
❤❤❤❤❤,1
"A questão do peixe ser cego e aquele grilo também, é fascinante, realmente aptos e evoluídos para viverem naquele ambiente, se nao tem luz nenhuma, nao tem porque ter olhos kk o incrível é que se o topo quebrasse ou algo assim, e a luz conseguisse entrar ali, eles ja iam começar o processo de obter visão de novo, mesmo que leve milhões de anos",1
Ô Việt Nam 🇻🇳,1
"Ahh so that's why. My *geography* teacher has this as his wallpaper, nice little detail lol.",1
Helal olsun 🤘🏻💪🏼,1
Bro its adventurer real!!,1
Let's go to elbrus,1
Goooow,1
❤,1
Sonra diyorlar yer altında hayat yok. AGARTHA İS REAL,1
"Kuran Dünyanın yaratılmasını gökler ve yer bitişik iken ayırdık, sonra duman halinde olan göğe yöneldik gibi ifadelerle açıklarken ateistler bunun çelişki olduğunu söylüyorlardı. Oysa bugün bilim ispatladı ki dünyanın ilk aşamalarında atmosfer yoktu ve Dünya’dan ayrılan gazlar atmosferi oluşturdu. Ve atmosferin ilk hali volkan bacalarından çıkan karbondioksitten dolayı tamamen duman halindeydi.⭐️",1
খুব ভালো লাগলো। এই রকম এডভেঞ্চার আরও চাই ❤😊,1
Finally i found a worthy you tube channel ❤,1
ধন্যবাদ এত সুন্দর জায়গা দেখানোর জন্য,1
"Efsane olmuş kral, lakin seslendirmeyi arkadan değilde videonun içinden bazen bilgi verirken o esnadaki sesi kullanarak yapsan daha güzel olur diye düşünüyorum",1
Abyss Hole,1
"5Kral  hikayesi burada sona ermiyor, çünkü onun yaşamında ve mirasında anlatılacak çok daha fazlası bulunuyor. Onun hayatı yalnızca bir liderlik örneği sunmuyor, aynı zamanda derin anlamlar, dersler ve keşfedilmeyi bekleyen pek çok ayrıntıyla dolu bir yolculuk sunuyor. Bu yüzden, bahsedilenlerin ötesine bakıldığında, her bir adımının ardında saklı başka öyküler olduğu fark ediliyor. Dahası, bu öyküler tarihe yalnızca bir krallık dönemi değil, aynı zamanda gerçekten unutulmaz bir iz bırakacak gibi duruyor",1
vietnamese people said: từ nơi đồng xanh...l,1
This is called real documentary ❤ wao what an amazing creation of Allah .,1
thanks ❤❤❤❤,1
Ruhi cenet channel terbaik!!,1
Güzellemesini yaptığın el salvador hapisanesinin abd'den gönderilen kartel veya göçmenler olduğunu içerideki mafya mesuplarıyla çokta bağının olmadığını öğreninde ne hissettiniz?,1
"So, that's what Scopper Gaban saw",1
10:42 ❤❤,1
Người Việt Nam thì like nào 🇻🇳,1
Arkadaşlar üşenmedim hesapladım 500 yıl önce ölen geyik kanuni sultan Süleyman zamanında yaşamış,1
আমার এত ভালো লাগে যে ভিডিওগুলো আমার সামনে যখন আসে আমি পুরোটা না দেখে একদম থাকতে পারিনা। ❤❤❤❤,1
"Ruhi, apakah air yang ada di dinding gua itu bisa diminum secara langsung?",1
Ruhi çenet türkiyenin en iyi kanalı olucak,1
mağralar hAKINDA DAHA FAZLA BİLGİ İÇİN HAZIRLADIGIM VİDEOYUU İZLEYİN LÜTFEN,1
Subhanallah Keren.,1
"Fascinant , merci de France",1
Hindi 😊,1
quê tuôi đấy 😉,1
Türkiye magara federasyonunda ruhi çenete destek vermeyen üyeleri kınıyorum,1
maymunlara bak gizli gizli evrimleşiyorlar :D,1
Yine 10 numara.Cok gurur duyuyoruz.,1
Gururumuz,1
VietNamese,1
this is satisfying bro,1
"Şimdiden söyleyeyim bu adamın başarılarına çamur atmak isteyen bazı insanlar var, ben bu insanları anlamış değilim. Başarılarının devamını dilerim Ruhi Çenet.",1
Really liked Hindi Dubbing .❤‍🩹,1
Buzulların arkası ile ilgili bir video istiyoruz,1
Wow,1
"İlk defa Ruhi' nin bir videosunu kıskandım, canlı buraları görmek ne güzel..",1
"Seni izledikçe dünyayı gezmek istiyorum, o kadar iyi anlatıyorsun ki",1
Ellerine emeğine sağlık Ruhi abi.,1
Siktiğimin siyasetinden bıktık birazda ruhi çenet kardeşimizin videosunu izleyip dünyada neler var onları görelim,1
2 ay sonra görüşürüz,1
It like a langon-gubingob cave in the Philippines the second largest cave in Asia,1
Abi sen hesabını ne ara aldın amk,1
Belgeselin süresi çok kısa😢,1
Teşekkürler.,1
the cave makes humans look like ants,1
kalite,1
Quem lembrou do livro: Viagem ao Centro da terra? 😅,1
ABİ SENİ ÇOK SEVİYORUM SENLE GURUR DUYUYORUM BÖYLE KALİTELİ İÇERİKLERİN HOŞUMA GİDİYO 15 YAŞINDAYIM UMARIM SENİN GİBİ BAŞARIYA ULAŞIRIM NEDEN CAPSLA YAZDIM BİLMİYORUM (:,1
"вау, это чудесно)",1
i really appericiate..being an geography student😊,1
Harika bir video cok beğendiğim,1
Best❤❤,1
Ruhi bir global adam ❤🎉,1
Jok❤😂🎉😢😮😅.,1
"Ruhi bey gelmiş geçmiş en profesyonel,bilge,araştırmacı youtuber sizsiniz.. Saygılar.",1
Gururr yine cok güzel olmuş,1
2 subscribe,1
Fantastik,1
Buz devri gerçekmiş,1
Ruhi'nin zamanında videolarında anlatıp ses kullanmadan yazı ile bizi bilgilendirdiği yerlere fiziksel olarak gitmesi muhteşem :),1
5:25 Tövbe tövbe :),1
"Türkiye'nin en iyi kanalı, çok bilgilendirici videolar geliyor. Opera kullanıyordum zaten ama biraz daha detay öğrendim teşkkürler.",1
Earlier I liked ZemTV but now I like this channel,1
Waiting For New Video❤,1
"obruk , obruk, dolin çince",1
0:19 mağara,1
Bro I can dub your voice in hindi,1
🇻🇳,1
"Ozellikte karanlikta yasamaya alismis orumcek, balik ve cekirgenin gozlerinin olmamasi gormemesi aslinda canlilarin yasadigi ortama göre evrimlesmesi olarak degerlendirilebilir diye dusunuyorum gercekten cok ilginc seyler😮",1
Bu mağara değil bildiğin gizli kalmış kapalı bir şehir,1
Indian attendance please❤😂,1
emeğınıze sağlık ~ keyifle izledim,1
👍🏻👍🏻👍🏻,1
This would be much more enjoyable if not so hysterical filming and hysteric narrator.,1
Yav abi sende hep mağralardasın be,1
Massa demais,1
😮,1
"Se fosse possibile, Ruhi andrebbe anche su Marte",1
La bu Minecraft'ta oyuna yeni başlayan oyuncuların yanında doğduğu mağara değil mi 😂,1
Videoların evet çok kaliteli çok güzel ama :/ senden bir ses beklerdik gençler olarak büyük hüsrana uğradık,1
คนไทยขอเสียงหน่อยย🎉❤,1
Usen cubrebocas la próxima vez :s,1
Thanks for 15 Subscribe 🎉🎉🎉🎉🎉🎉,1
Tebrikler,1
Wow that is amazing,1
No ads?!? Not all heroes wear capes!,1
I really wish he finds agartha lol,1
Massive cave. 😮😮,1
Ruhi Çenet'in belgesellerinin TV belgesellerinden hiçbir eksiği yok hatta daha kısa sürede daha çok şey anlatıyor,1
Quanta coisa linda....acampar nesse lugar é uma loucura.,1
"Wow, never fails to document,,, full of struggle in making videos.. must be highly appreciated 🔥🔥🔥🔥",1
"There are so many, but you are the best Ruhi with learn, explore and discover...!! Always full of information.😍🙏",1
Indian 🇮🇳👉🏻👉🏻👉🏻👉🏻👍🏽👍🏽,1
Türkçe yorum bulmak zor,1
"Спасибо большое за такой контент, весь мир смотрит",1
Sen bir markasını ruhi çenet ❤,1
TC NİN GURURU,1
Who is watching for Indian 😅,1
gunumuzu guzellestiren video,1
"У вас под ногами какашки Рэмбо , а вы про сверчки",1
Ai Việt Nam Giơ Tay 🖐🇻🇳,1
Who Vietnamese here? ,1
বাংলাদেশ থেকে 🇧🇩🇧🇩,1
"Old Hindi voice is good, But new Hindi voice is not perfect 🤨. or, Video is very good 👌",1
Reis o kadar emek veriyorsun ama 16 dakika sencede az değil mi? Emeğine yazık oluyor bence. O kadar uğraş didin ama 16 dakika mi?,1
Vietnamme,1
"Allah'ım sen neler yaratıyorsun Yarabbim, şükürler olsun ❤️‍🩹",1
"если над головой небо, это ущелье а не пещера ! и конечно это далеко не самая большая в мире. это просто ты о других не знаешь",1
Mahalle yanarken 😂😂😂,1
"Bu adam başka bir seviyeye çıktı. 
İnanılmaz bir doğa oluşumu. Böyle bir güzelliği bize gösterdiğin için senin ve ekibinin eline sağlık.",1
Your documentation is on another level...❤,1
your video is very nice,1
"Hello! I come from Vietnam, and what you just saw is ""Sơn Đoòng,"" a natural wonder of the world. I hope you can visit Vietnam to experience the unique features of our country, including its nature and its people.",1
Same cave with alan walker alone pt 2 music video,1
Omg😊😊,1
Your Thai voice acting is very good I like it.,1
Bro next part,1
Dublajlı YouTube özelliği için YouTube a teşekkür ediyoruz ses parçası insanları kaynaştırıyor ... 😂 Teşekkürler Ruhi ❤  Çenet Saygılar sevgiler bizden size gelsin. 😊,1
Indian viewr's ❣️,1
Türkiye için mükemmel bir değersin.🇹🇷🇹🇷🇹🇷,1
Video çok az izlendi neden böyle oldu çok kaliteli bir videoydu,1
Sounds like decor gaming,1
Coğrafyanın kodları geldi direk aklıma keşke o da gelse😊,1
1like =10 gf🗿,1
internette derinlemesine araştırmalar yapmak = chat gpt'ye soru sormak,1
👏,1
We discovered real Minecraft before GTA VI 😭,1
Mağara değil bildiğin obruk bu.,1
"Hi. I've been looking for a video about caves on YouTube for a long time. To my surprise, there were not many such videos. And now, you have filmed an interesting story, with beautiful cave landscapes.I watched your great work with great pleasure.Thank you very much.",1
Nature and Ruhi both at their best❤,1
Earth premium,1
welcome to vietnam,1
Ruhi is king🔥,1
alan walker here for music clip... wow amzng 😮,1
10:05 looks like a giant you can see the head and the eyes and the mouth,1
والله احسن الخالقین,1
Mükemmel bir video,1
কে কে ফিলিস্তিনিকে স্বাধীন রাষ্ট্র চান,1
Why there is not a single mob ? I think they are in peaceful,1
Türkiyenin gururu ruhu çenet!,1
"Thanks for the video rushi. 
But this video should’ve been longer❤",1
Good so beautiful video 🎉,1
Çok Güzel Bir Video Teşekkürler Bu Bilgiler için❤,1
👏,1
👍,1
undertale,1
He looks like copy of Arvind Kalia sir vedantu,1
Abi harika içerikler ama sanki atlılar kovalıyor gibi acele ile bitirmen olmamış. Sürekli konuşman da yoruyor bazen. Belgesel videosu olunca belgesel gibi seslendirme bekliyor insan.,1
Hi the video too short  but you do great,1
Indian 🇮🇳fan's 👇🏻,1
"""Bilgiye ulaşmanın bu kadar kolay olduğu bir çağda, doğru bilgiyi derleyip sunmak gerçek bir sanat. Ruhi Çenet, sadece bilgi aktaran biri değil, aynı zamanda bizlere farklı bakış açıları kazandıran modern bir anlatıcı. Her videosu, merakın gücünü ve araştırmanın önemini bizlere hatırlatıyor. Yüzeyde görünenin ötesine geçip olayların derinliğine inmesi, bizleri sorgulamaya ve düşünmeye teşvik etmesi gerçekten değerli. Emeğine ve araştırmacı ruhuna sağlık, Ruhi! Gerçek merak asla tükenmez, sen de bu ateşi hep canlı tutuyorsun.""",1
kötü bir video,1
Harikasin,1
E o zaman bi everst yaparsın reis,1
saygı duyduğum sayılı insanlardansın umarım çok daha iyi yerlere gelirsin başarılar.,1
Samsung S24 ultra is a hobby phone. But I can't afford to buy it. There is no one to help me.😢 15:27,1
Samsung S24 ultra is a hobby phone. But I can't afford to buy it. There is no one to help me.😢 8:13,1
Çok güzel bir Video ❤,1
ruhi çenet Mersindeki cennet ve cehennemmağralarınıda incelermisin,1
Jules Verne'nin Dünyanın Merkezine Yolculuk Romanını hatırlattı bana,1
Videolarını daha uzun yap bence cidden biticek diye izlemek istemiyorum,1
Tôi là người Việt Nam 🇻🇳 ❤,1
Ellerine sağlık çok güzel olmuş,1
😊,1
কোন বাংলাদেশি আছেন??  🇧🇩,1
Ülkesindeki olaylara haksızlıklara susan dilsiz şeytandır. Dislike,1
Bırak seni öyle bilsinler kendini açıklama yaparak harcıyorsun karanlık yanını bilsinler söyle nolur öyle bilsinler de daha özgürce bi yaklaşımdır. Kötü çocuk sen ol hep iyiydin artk kötü ol noluyor,1
6:55  Did someone notice the human face watching down carved on the top 🤔,1
Ülke karışmış beyfendi keyfinde,1
Youtubeda bu kadar güzel anlatım ve görsellik içeren çok az video var gerçekten gururlandırıcı,1
What a explorer 😮,1
wow this is breathtaking,1
rõ ràng nó là của tự nhiên nhưng một số người lại tự cấm không cho người khác vào trong,1
Thanks bro may live long,1
Thanks,1
Best content creator on earth,1
"Ubur Ubur ikan LeLE
Kerja bagus Pak Leee k",1
"Your hindi voice is changed 
I am disappointed 😑",1
Moana can have justice now,1
Желаю удачи привет из беларуси 🇧🇾 хотелось бы увидеть тебя у нас в стране,1
Real Minecraft ——————————->,1
Azərbaycan dilində auido trek niyə yoxdu?,1
seni de boykotluyorum,1
Ruhi emeğine sağlık mükemmel bir belgesel hiç bitmesin istedim,1
51 inci bölgeye gitsen keşke abi,1
gerçekten inanılmaz ya,1
"Welcome to Việt Nam 🇻🇳🇻🇳🇻🇳
❤❤❤",1
Böyle kaliteli şeyleri bize izlettiğin için teşekkür ediyorum.,1
Global yutuburuumuzzz guru rduyyyyyyyyyyyy,1
I love your videos from Egypt 🇪🇬,1
i wish this video was much longer and focuses on every detail of the cave,1
❤❤❤❤,1
বাংলাদেশ,1
Hey guys RUHİ ÇENET iş TURKISH,1
Cảm ơn các bạn đã đến Việt Nam ❤🇻🇳,1
Yks ye tekrardan hazirlandigim bu zamanlarda gecenlerde paragraf kitabimda burasiyla ilgili bi paragraf cozmustum ve cokta ilgimi cekmisti ama internette arastirinca cok fazla bilgi bulamamistim. Hatta diger magara videonuzu ilk gordugumde burasi sanip asiri heyecanlamistim ama onun heyecani bambaskaydi ve simdi ustune burayla ilgili bir video... Harika,1
Im from Vietnamse which love ❤⭐,1
Adamsın abi,1
BOYKOTTTTTTTT,1
GÜNDEMİ DEĞİŞTİRME VİDEO ATMA IN SORASI DEĞİL,1
Rất vui vì bạn đã đến Việt Nam của chúng tôi❤,1
🇧🇩🇧🇩🇧🇩🖤🖤🖤🌺🌺🌺,1
Resmen ağzım açık izledim 🫠 harikasın Ruhi Çenet 🇹🇷,1
Türkiye nin Gururu ❤️,1
🎉🎉🎉Welcome to VietNam❤❤❤❤,1
Guzeldi,1
इंडिया wale हाजिर hoooo ❤❤❤😂,1
"Wow, this video is amazing! I love how adventurous and exciting it is—definitely my kind of thing! You’re such an inspiration, and I’d love to be a YouTuber like you someday. Keep up the awesome work—I’m totally hooked!",1
لو سمحت زور واستكشف كهف جزيره سقطراء اليمنيه 🇾🇪,1
"ülke de darbe ve kitlesel gözaltılara tek bir ses çıkarmayanıda biz mağaraya gömeriz, bye bye ruhi çenet",1
Youtube türkiye ne ara bukadar gelişti 😮,1
Vietnam's 😂🎉,1
The best documentarian on YouTube🇹🇷🫶,1
Viet Nam 👍🇻🇳,1
SAYAJI KAPAN ORANG INDONESIA NNTONGI,1
Hadi lan gündemi bulandirma tek paylaşım yapmazsan senin de amk,1
Çok büyük emek 👌,1
Are there treasures? 😂,1
La cueva de los reptilianos,1
Gündemi değiştirmenin sırası değil :( çok üzülerek takipten çıkıyorum,1
Ruhi is King 👑,1
Saya dari Indonesia 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,1
Minecraft dağları 💀,1
Any indians here❤👇,1
11:44 Sanırım kafayı yemeye başladım çünkü arkadaki taşı bir surat olarak görüyorum,1
Nat geo in danger 😂😂,1
iyi ki varsın ruhi Çenet iyi ki,1
❤,1
Quảng Bình quê hương tôi❤🇻🇳🇻🇳🇻🇳,1
böyle muazzam bir yer için çok kısa olmuş,1
Благодарю за видео 👍 👍 👍 👍 👍 👍 Конет топ 🚀 ❤️,1
"Hak, hukuk, adalet! 🟥⬜",1
Kalite❤,1
brasil,1
Indian viewers like karo 🎉🎉🎉🎉🎉🎉,1
"Subhan Allah, it’s truly terrifying. Please don’t change the mood; the sound of Arabic is wonderful❤❤",1
رضيت بالله ربا وبالإسلام دينا وبمحمد صلى الله عليه وسلم نبيا,1
Ruhi abi ülkeye döndüğünde ne tepki vermiştir acaba aq,1
"the great wall of china ❌
the great wall of Vietnam☑",1
Amazing,1
Trista da cunha maybe wonderful place to go for ruhi cenet 👇,1
Adeta Tomb Raider oyunundan bir bölüm gibi,1
average minecraft cave,1
Как они понимают сколько лет назад тому или тому?,1
Yeh Hindi dubbed toh Apne Decor Bhai ka hai 😅😂😂,1
alien prometheus,1
Çok kısa olmuş. Hemen bitti video 😭😭,1
Video çok ama çok iyi ama sonu sanki eksik kalmış gibi. Sonu bitmemiş film gibi..,1
Buddy please make a video on India's documentary🎉❤,1
Who viewed big rabbit on 6:49?😊,1
Огонь!!! Давай больше видео!!! ❤,1
Piramitlerede girsene abi,1
aslan abim türkiyenin en iyi youtberi👋👋,1
harika video ağzım açık izledim ama 16 dakika çok kısa olmamışmı böyle bir macera en azından 30 dk olsa daha iyi olurdu,1
Hiç beklemezdim böylesine bir olayda paylaşım yapmayacağını.,1
süpersin!,1
Căng🔥,1
"Ruhi,Gelecekte Kuzey Koreye gitmeni umuyorum",1
Harikulade ve eğitici öğretici bir video olmuş. Kalite kokuyor resmen. Teşekkür ederiz❤,1
"You are beautiful, my dear, scenes",1
bagaimana jika terjadi gempa apakah akan mempengaruhi struktur langit-langit goa??,1
Kısacası DÜNYANIN MERKEZİNE YOLCULUK,1
3:21 heyyyyy stay safe brother 😢,1
"13 million subscriber🎉🎉🎉
👇    😊^_^",1
I love Turkey but why not its government? There is no difference between the Turkish government and Israel.,1
The from VietNam❤,1
"Tôi tự hào mình là người Việt Nam ❤️
I love Vietnamese ❤",1
Abim kralsın seenya❤❤❤❤❤,1
Harika bir video olmuş tebrikler ruhi çenet,1
👏👏👏✨,1
👏👏👏👏,1
Seni de boykot edeceğiz. İzlemeyin la bunu. Benim yapacağım gibi engelleyin geçin.,1
EXİMİN ANASININ AMI BURASI,1
Pilistin pilistin pilistin pilistin ben israilliyim❤😊,1
🎉🎉,1
"I'm a Vietnamese, thank you for visiting our country!",1
No doubt this is the best youtube channel,1
Abi su an turkiyede olanlara hic bir tepki gostermedin burda milyonlarca etkilesim aliyorsun videolarin milyonlar izleniyor bu ulkeye ornek teskil ediyorsunuz ama bir ses bile cikarmadiniz,1
日本語の声が高過ぎる。,1
Why your voice chenge 😢,1
South Asian guys like kardo..,1
One of the most interesting video I've ever seen in my life,1
Come to Indonesia❤,1
Legand is back ❤,1
keren banget,1
日本語訳おかしいよ,1
gg,1
আমাকে জদি বলা হয় তুমার সবথেকে প্রিয় উটুবার কে আমি বলবো Ruhi cenet❤❤ তার প্রতিটা ভিডিওর আসার অপেক্ষায় থাকি 🥰🥰Love u🥰🥰,1
"I am Vietnamese, and I am very proud that you come to our country, thank you very much. (tôi là một người Việt Nam , và tôi rất tự hào khi bạn đến đất nước của chúng tôi, rất cảm ơn)",1
Wellcome to my Viet Nam🇻🇳🇻🇳🇻🇳 (my country),1
Qardaş ölkəmlə bir daha  fəxr etdim. Allah sənn canını sağa eləsin . 🇦🇿❤️🇹🇷,1
İnanılmaz güzel teşekkür ederim 👏👏👏🤗❤👌,1
This guy is mind blowing ❤,1
"Thank you very much for giving us a beautiful video. 
Your video is the best. 
Good luck",1
รับชมจาก Thailand 😮👍🏽,1
6:10 memelibiirkadına benziyor,1
VIỆT NAM ❤❤🎉🎉,1
imar var mıymış ?,1
Me ek YouTube💔💔💔💔,1
Ruhi çenet bu işin kalitesi diyenler bu yorumu beğensin.,1
Ruhi artık Türkiye youtube'ndan çıktığını kanıtlamıştı bi videoyla daha da çok arttırdı,1
Việt nam dân chủ cộng hoà muôn năm,1
Tự hào ❤,1
Orkun da acılı ev turu yapsın aq,1
Tôi là người Việt Nam. Đất nước chúng tôi có rất nhiều danh lam thắng cảnh đẹp. Hang Sơn Đòong  là nơi Alan Walker đã quay MV  Alone part II !,1
Ağzım açık izledim. Müthiş,1
"Давай, пошути про свою бывшую",1
Harikasın.. 😊,1
Başka bir seviyeye çıktın,1
espressolab içenlerin arka kapı,1
dünyanın merkezine yolculuk filmi gibi,1
i wanna visit this cave,1
"akhirnya ada upload juga🥳
semangat  terus sodaraku❤️",1
You look like Faisal bin Abdulaziz Al 💯,1
La natura è una cosa meravigliosa,1
abi dustugun yerde cok guldum ozur dilerim valla,1
orang indonesia kumpul,1
Minecraft update be like :,1
Azerbaycandan selamlar☺gerçekten çok muhteşem bir video👏👏,1
Nepali language add plzzz❤❤❤❤❤❤❤,1
sübhanAllah,1
Hang này ở nước việt nam 🇻🇳 của tôi❤🎉,1
"Vibe ""Made in Abyss""",1
Sangat bagus guanya,1
тайминг 10:43. Это тропинка? В дикой нетронутой местности вытоптанная тропинка?! Какого хера?! Что за наебалово?,1
Việt Nam ❤🇻🇳,1
1 günde 4 milyon izlenme perfect🎉,1
"Bro your Urdu dabbing is not write.
It is Hindi.
Please correct it.
We face difficulty in understanding many Hindi words.
I hope you will take action for it.",1
This is amazing. Thank you for your visit to our country and for helping to widely promote the good values of Vietnam. Love from Vietnam.,1
Yoooooooo welcome to 🇻🇳vietnam,1
Today kon kon dekhara he😮😮😮,1
Hello greetings from Indonesia,1
This man knowledge most Better than Dhruv rathee,1
ахуеть,1
Ruhi abi sokotra adasına gidermisin dünyada başka yerde olmayan ağaçlar bitkiler hayvanlar orada varmış birdahaki videonda oraya gidermisin?,1
Pak ruhi.. tetep aja goa yg paling nyaman dan enak adalah goa berjalan😂,1
Indians here 👇❤,1
Next to the city of Toraja Indonesia 🇮🇩🙏,1
저는 한국인입니다. 한국은 민주당에 의해 편파된 방송만 보고있는데 유튜브를 통해서 유익한 영상을 볼수있게되어 기쁨니다. 감사합니다,1
Warga konoha ☝,1
I love INDIAN 🇮🇳,1
dünyanın içinde dünya,1
çok büyük adamsın ruhi,1
ما شا الله,1
Mükemmel ötesi bir video olmuş çok beğendim yarın sınıfta akıllı tahtada açacağım,1
Gerçekten inanılmaz bir deneyim😮,1
''Vai com calma amor é minha primeira vez'',1
ruhi the king,1
Hyyyyy,1
"7:23
7:37
11:57 
13:33
14:04",1
"I'm Vietnamese, welcome to Việt Nam 🇻🇳❤👋",1
"I am Vietnamese,I proud of my countryyy",1
Cıngıllı ruhi,1
His video is really amazing❤😊,1
1:31 bu bir obruk oluşumu mu,1
After❤1y it final uploaded❤😂🎉ty for visit we❤country❤,1
Oh That cave is Massive u know what else is massive?,1
mukemmellll,1
Love UR Content ❤❤,1
Yüce Allah neler yaratmış,1
Ruhi is best,1
Ülkedeki olaylar hakkında bir şeyler yazdı mı bu,1
"ओह्म श्री कृष्णाय वासुदेवाय हरये परमात्मने / 
प्रणतः क्लेशनाशाय गोविंदाय नमो नमः ....!!🥰🥰🎉🎉🎉😅😢",1
Isn't it the same cave use in Alone part 2,1
বাংলাদেশ থেকে দেখছি ❤,1
Vietnam❤🇻🇳,1
Ruhi cenet respect button 👍,1
দেখতে দেখতে রমজান মাসটা শেষ হয়ে গেল 😢😢😢,1
Vary Nise Video❤🇧🇩🇧🇩🇧🇩,1
আনেক সুন্দর ভিডিও,1
It's amazing documentary comparision between another documentery,1
"Abi keşke Türkçe altyazı eklesende bizde orjinal halini izlesek, lütfen.",1
"C'est pas la plus grande mais la plus grande ressencer.
Ils y ont même trouvé des êtres Reptiliens.
Laramie votre Serviteur Abgal,
PAIX, AMOUR, HARMONIE ET UNITÉ.
PS: ce l'homme a le droit de voir n'est que 5% réel de la grotte où du complexe diront nous, Lacerta vit pas loing de là d'ailleurs.",1
Yemek yerken izleyen arkadaşlar izlemeden önce bu yorumu gördüyseniz dikkat edin. Yemek yerken mide bulandıracak hayvanlar var.,1
This reminds me of an older halo campaign map,1
Abi Megalafoiam Artı bu videoyu  izlerken Harika Yapım❤,1
i'm Vietnamese and Sơn Đoòng in my country,1
Noob,1
Reminds me of Turok - Son of Stone,1
Beautiful but I have no desire to go there,1
Einfach Elden Ring Untergrund in Real Life,1
AMAZING,1
Boa noite,1
this son doong very son's dong,1
Milyonlarca yıl aşağı yüzbinlerce yıl yukarı yalanları,1
"Lol, the vegetation video with the drone—I was thinking it was from a video game.",1
Sembra Viaggio al centro della Terra di Verne.,1
"ma il doppiaggio in italiano è stato scritto da un bambino della prima elementare e poi letto da un adulto ?
 che azz avete rotto i coglioni con 'ste frasi da decelebrato",1
"so many long videos on youtube with nothing interesting, and you have such an interesting trip taken into a massive cave and the video is so short :(",1
Ruhi the real hero 😊,1
"Hii idol, iaem from Indonesian, thanks you pengetahuan y, berkat video anda bertambah ilmu dan wawasan saya mengenai dunia luar🎉",1
I watched this video when It had 740k views. What about you.,1
I wish this was longer. It's so fascinating.,1
"ulkenin insanlari bir gelecekleri, hayatlari olabilsin diye mucadele ederken sesini cikartmaman cok buyuk bir rezalet. Yaptigin yapacagin en anlamli icerik olurdu, yazik.",1
Ruhi bey YECUC VE MECUC OZBEKISTANDA TEMBOK DAGINDAYMIS BIR BELGESEL LAZIM,1
Single watch at 3 am 😂😂😅,1
Việt Nam điểm danh,1
Marvelous ✨,1
Bence iyi bir konuydu ama biraz daha uzatılmalydı ve mağara hakkındaki gizemlerde anlatilmaliydı,1
Ya Rabbelalemin olan Allah'ımın kudreti ❤,1
"Braderim Opera yı desteklediğin ve sponsor olduğun için teşekkürler 
Kullanıcı öncelikli hem pc hem telefonlarda hakkını veriyor tekrar teşekkürler",1
Keren njir,1
What did they do call Dr.Markus  and use the “Genesis Device”?!!,1
Made in Abyss,1
Making up stories..... no real video footage,1
"Thank you for Polish dubbing, greetings from Poland !❤",1
