comment,sentiment
Wow im early,5 stars
Upside down the studies,3 stars
This is crazy broooo,5 stars
Come on the oldest civilization in history,5 stars
Finally I was getting popular,5 stars
Under one year gang,1 star
bro actually this video actually make me want to study about pyramids,5 stars
Visit Mohenjo daro in pakistan one of the most advance civilization in history,5 stars
Money makes many things,5 stars
Yo,5 stars
How you,5 stars
How is this possible to record,5 stars
Bro is insane,1 star
how is bro able to do this,5 stars
This is crazy broooo,5 stars
somehow have unrestricted access to all the Great Pyramids of Has,1 star
bro thats scary,3 stars
Buy property in,5 stars
Next Climbing Mount Everest,5 stars
Bro can survive anywhere,1 star
hour,5 stars
Any Indian fan here,5 stars
Where is the Godzilla and Kong is,1 star
Under one hour,1 star
OLANLAR,3 stars
Anyone after hours,1 star
still water eating amoeba,2 stars
Bro really got Zahi for the video,4 stars
Next I Spent Hours in the Space Later I Spent Hours in the Mars,3 stars
I am from Egypt,1 star
He bought a property in Egypt,1 star
Loved,5 stars
We are Egyptian,1 star
One hour,1 star
Joe,5 stars
Mom famous,5 stars
Beast YouTuber Best,5 stars
Under hour gang Dad famous,5 stars
what tomb is a giant energy generator and if you think that s years re its a lot older,4 stars
First,5 stars
Swarms are so cute,5 stars
Thank you Love the video so much,5 stars
Under hours gang,2 stars
This the craziest,5 stars
Why do youtubers have so much power,1 star
Maybe the aliens build the but they sure helped them build Gave them the blueprints and the,4 stars
Loved,5 stars
Pretty awesome So,4 stars
I FROM EGYPT,1 star
The are,3 stars
This is so cool and Beast,5 stars
Wow nice video,5 stars
I have claustrophobia and this video gives me anxiety,1 star
I leave in France in Montesson,1 star
Under one hour,1 star
Zahaih is such an,1 star
More than million in an,1 star
Cool,5 stars
The Best,5 stars
Finally your video resolution has become You made us have a lot of patience,5 stars
One hour gang,1 star
Welcome to Egypt,5 stars
FOR got me rolling on the floor,5 stars
Paper descomposes really if its buried even,2 stars
Great Video,5 stars
if you notice it free palestine,3 stars
I am the watcher,5 stars
That scream was breath,1 star
Come to istanbul you regret it,1 star
BIG Love from IRAN,5 stars
bro is now getting sponsored by countries,5 stars
Kudos to the,5 stars
Why Bruno mars in Egypt,5 stars
Edit under hour I am fmaous,1 star
This video is awesome,5 stars
I suppose only Egyptians still believe they built the,3 stars
Under an hour gang,1 star
an Egyptian and That was the first time to see,1 star
Under hours,2 stars
Best video As an I am very proud of,5 stars
Under an,3 stars
Big fn of Bangladesh,5 stars
I am a big fan of,5 stars
it is the best video i have ever seen,5 stars
One hour gang,1 star
Love from BD,5 stars
From Bangladesh,1 star
I watching this pyramid for this,5 stars
This is feke videos and editing episode,1 star
swam in still water inside the,1 star
wait,1 star
how are,5 stars
Now spend hours in Area,4 stars
I am very proud to be,5 stars
Most took alot to do,3 stars
That was pretty,3 stars
Insane I am proud to be an Escriber to Gang of mrbeast assemble,1 star
bro is crazy,5 stars
did you buy a property in,1 star
I bought a property in ahh video,1 star
they are exploring the lunchlyables factory how neat,4 stars
Bro,4 stars
Dammit i wanted to see cleopatra,1 star
under a hour mwhahha,1 star
I love mom,5 stars
Is this I doubt,1 star
One hour gang before this becomes two hour,1 star
frome in Egypt,5 stars
I brought a property in Egypt,5 stars
Who Watching in February,5 stars
Under an hour gang,1 star
Next HOING TO MARS TO DO NEW,4 stars
Ufff Privileges,5 stars
The way he shouted at,1 star
Indian history laughing in the corner,1 star
I escribed after that,3 stars
How could you ever make a better video than,5 stars
Why are you,1 star
How much did you pay to make this video,1 star
Turkey Where,5 stars
Under hours gang,2 stars
Im proud to be Egyptian,5 stars
Wait this is so,3 stars
no backlash interesting,4 stars
WITH THIS TREASURE I SUMMON,5 stars
challenge Spending hours in Atlantis without,4 stars
mummy chilling in pyramid hears i spent hours inside the pyramids mummy nooooooo,1 star
And somehow there are more pyramids in Sudan then Egypt,2 stars
they were power stations not tombs and they were built a lot longer than we have been no kings were found in any tombs ffs,3 stars
Wow under hour million views,5 stars
Under hours,2 stars
KARL CHILL ITS JUST A TOY,1 star
I was expecting some kinda tresure buried there a big fan of mummy franchise,3 stars
Assasin creed,5 stars
At hour this is freaking amazing,5 stars
Only mrbeast can do it,3 stars
Why he visit the,5 stars
Under years gang,5 stars
And now I have no,1 star
Bro bought a property in Egypt,1 star
All fun and games until you get brain eating amoeba in your nose,4 stars
its,3 stars
Your vibe attracts your,5 stars
People who watched under hour,1 star
This is by far the best video by mrbeast i actually enjoyed it lol,5 stars
This is what learning in Social Studies,5 stars
i love the scarfs,5 stars
Under hour mom,1 star
I find it so funny that in hour this video already has,5 stars
Still water,4 stars
wsg beast,5 stars
We love educational,5 stars
Under hours gang,2 stars
We want more historical,3 stars
The best video,5 stars
so cool,5 stars
Egypt is the cradle of,5 stars
Thank you i mean mrbeast,5 stars
Very beautiful,5 stars
He bought a property in,4 stars
Nah this is crazy,1 star
The biggest pyramids are Mayan but Egyptian pyramids are,3 stars
Imagine if earthquake occurs,1 star
NOT THE STILL WATER BRO,2 stars
Under one hour gang here,1 star
Yoo mins ago,1 star
Poland,5 stars
After a long time all friends are gathered on a trip wow,5 stars
I love this video so much,5 stars
Mrbeast is amazing this video aswell,5 stars
I believe Joe Rogan come with,5 stars
Hope this video promote vandalism to them,1 star
amenti earths,5 stars
From now,5 stars
Under hour inshallah,1 star
Under years,5 stars
Before,3 stars
Under hour gang going to famous,5 stars
it is Egypt,5 stars
I am from Egypt,1 star
I am from Egypt,1 star
Bro bought a property in,5 stars
Chhewang plz unblock me,1 star
Humans build that we are supposed to believe Egyptians built Love the video but the pyramids are a mystery and nobody should take credit for building Amazing,1 star
Beast LoveRs,5 stars
Mrbeast,5 stars
HABIBI WELCOME TO EGYPT,5 stars
Under one hour,1 star
Bro can you unblock,1 star
Holy,5 stars
come to where the first humanity began,5 stars
rily klows too may taim,2 stars
our pyramids not a tomb it is a power generator machines built years do you want to tell me these massive architectures built by a primitive tools and poor slaves,1 star
It was a little busy,3 stars
Best greetings to you,5 stars
Lmao how many Egyptian officers were bribed for this DOESNT MATTER,1 star
Chandlers,5 stars
here are those who want more mrbeast videos,3 stars
Under a,3 stars
I am proud to be Egyptian,5 stars
For me the ESCRIBE was the best part,4 stars
Free promotion for egypt,4 stars
A wonderful journey and a beautiful adventure discovering the pyramids and the pharaohs,5 stars
First time seeing the inside of the pyramids outside National Geographic,5 stars
Sad for Nolan,2 stars
guys who want Persepolis in iran video,1 star
chandelar is back,1 star
still water,4 stars
I am studio so I best who agree,4 stars
This was a fun video,4 stars
I kinda wish this video was longer and in more Awesome video great premise definitely want more,3 stars
How many Egyptians are,1 star
Welcome in,5 stars
I really believe he got permission to film,1 star
This was such a cool vid,5 stars
The Quran read it you could see the story of Pharaoh,5 stars
Whis is watching in,5 stars
How much money did it cost to do this,5 stars
Bro can you unblock,1 star
Who is watching this in when this pyramid is destroyed,1 star
Pyrimids is crazyyy,5 stars
I really believe he got permission to film,1 star
iam commenting time beast fans make me famous also,5 stars
This fr reminded me of,5 stars
How did you get Mrbeast,5 stars
how much did bro pay the egyptian govement to do,1 star
this is crazy,5 stars
cristiano Ronald is the best player in history,5 stars
just buy the pyramids mrbeast,5 stars
Under year,3 stars
We did all of,5 stars
Bro can you unblock,1 star
it is very cool,5 stars
new Yaris,5 stars
The best,5 stars
Love from the hood in Shreveport Louisiana,5 stars
The Gold Swarm is long gone,5 stars
They should have brought Wirtual there,2 stars
it was,3 stars
so searching for that gold mrbeast toy whose with me on this,5 stars
OMG,3 stars
anyone under an,1 star
The universe hates Nolan,1 star
Under hour is,2 stars
cooooool,3 stars
As an Egyptian I am very proud of this,5 stars
Under one hour,1 star
Where is,1 star
Bros has most professional discovers have,5 stars
There is no way humans built those,1 star
Who knows who commented,3 stars
pharaoh curse incoming,1 star
Ebscrib for,4 stars
Love from,5 stars
The ceilings being low since the average height was much shorter back then is cool,3 stars
Thanks for subscriber,5 stars
THIS VIDEO IS INSPIRED BY AMENTI,5 stars
Pyramid is the symbol of,5 stars
I am here before milion views,1 star
Brady bunch,5 stars
Who else is amazed that he got permission to explore the,3 stars
What did Nolan do to Why are you dissing,5 stars
Welcome to Egypt,5 stars
days and we get a min Release,1 star
Thanks you for the very interesting,5 stars
Okay now do the catacombs in francee,3 stars
That video is very interesting,5 stars
If u watched it under hour but commented after that w,2 stars
This is the best video so far of pyramids explanations,5 stars
and your cru,5 stars
Under hours gang,2 stars
Under hours gang,2 stars
Whoever the editor their editing is better than mine,4 stars
Welcome to Egypt,5 stars
Omg This is insane,1 star
The Best,5 stars
Next GOING TO SPEND HOURS IN AREA,3 stars
Thank you for coming to,5 stars
Under hours,2 stars
Money buy happiness The,5 stars
It was not the Egyptians who built their but the Jews,3 stars
Karl diving into still water is kinda,3 stars
Nah he has to much free time,3 stars
Thanks for filming this amazing even the atmosphere is felt here,5 stars
in the thick of it for,5 stars
Under one hour gang,1 star
dont worry i will escribe,3 stars
Mrbeast why did you block erownie l am turkish you blocked one of the best yotubers in turke,1 star
BRO A Property In,5 stars
Mrbeast is,5 stars
You love,5 stars
In Germany we gegen,1 star
Peoples from France,5 stars
Under one hour gang,1 star
episode was crazy the plot twist was insane loved it wait for episode,1 star
Woohoo the best video what i have ever,5 stars
just unlocked the ultimate VIP tour of,5 stars
Mom famous,5 stars
How does one even achieve this,5 stars
Get the ingredients are probably,3 stars
i want to be nolan gf,3 stars
I MADE THOSE,5 stars
Under an hour gang,1 star
Spend hour on north sentinel island,4 stars
I didnt belive the title but then saw the creater,3 stars
Under an hour gang,1 star
Why do we explore space and even the ocean when we have,5 stars
I believe I was here in under an hour,1 star
Under one hour,1 star
Bros def the main,4 stars
i think he bought a property in egypt,2 stars
Chandlers face the whole time,5 stars
This right The definition of,5 stars
Under one hour gang,1 star
Under hour gang mom famous,5 stars
Now try it at the pyramids in Mexico,4 stars
Under hour gang Edit mom famous,5 stars
already ESCRIBED,1 star
Coolest thing ever,5 stars
the view special,4 stars
Are the crazy,5 stars
just unlucky Joe Rogan come but great video,1 star
How many Egyptians here are proud of their,5 stars
Is that not,1 star
Pyramid of the egyptian,5 stars
Now this is premium content,5 stars
To many spiders in those kind of places for Me lol,3 stars
Zahi Hawass We are proud of you,5 stars
People who are,5 stars
Bro gave us a closer look than most history,4 stars
This is from Indonesian pepole bro,1 star
Under an hour gang,1 star
Now this is history,5 stars
most beautiful fluffy ever,5 stars
imagine someone coming to egypt for vacation and the pyramids are closed becasue of mrbeast,1 star
Buy me a ps,5 stars
Got a video to watch while eating,5 stars
This was massive,1 star
So cool,5 stars
who from,1 star
I think the pyramids are really a,5 stars
Invite us Indians to one of your new,5 stars
Egyptians where are you prove your,1 star
From we are very happy to have you in Egypt and to visit the,5 stars
this video is insane,1 star
as a fellow Egyptian this is,5 stars
What do you think of,5 stars
bro thinks Indiana Jones,1 star
Wow great,5 stars
He rent the Egyptian gov granted access outside hrs,1 star
i think its messed up that they moved the mummified pharohs,3 stars
If you want a free,1 star
I bought a property in Egypt,1 star
wow,5 stars
Reason why he is yhe biggest,1 star
up to a,4 stars
Bro Swam Through Still Water,1 star
Bro is really,3 stars
Mrbeast is the best YouTuber in the world,5 stars
why did you ban Are there any Erowni,1 star
Absolutely Greatest video of them all,5 stars
Dose anyone knows EMINEM,1 star
Bro bought the,5 stars
Who want to visit,5 stars
Who loved the,5 stars
In every video he BLOWS the place he is in using cgi but he dare to do it in this video,1 star
Hour,5 stars
Crazy that a YouTuber can make such Crazy things,1 star
On one houre,1 star
A big W for the Egypt Government,5 stars
the photography is out of this Two thumbs,1 star
years,5 stars
Under million people have seen this so far and this will probably get of millions of views,5 stars
You should do the Paris catacombs,5 stars
Pharaohs will not be satisfied with this,2 stars
How much money did he spend to get access to,5 stars
Hopping in still water is crazy work,5 stars
piramids build by alien civilization who are now inside the Earth,5 stars
level of national Amazing that YouTuber can do this,5 stars
At the time of this there is approximately Views,3 stars
frank ocean would be proud,4 stars
at this point bro needs to find atlantis make another video,3 stars
Bro mins and already mil view,5 stars
I am Egyptian But Thanks For Going Egypt,3 stars
Jews build this,5 stars
Under year,3 stars
It is one of the best videos I have made and as an Egyptian I am very happy with your visit to Egypt and with this Thank,5 stars
Not because they are Because they are more important than you,2 stars
anything can be purchased with money in this,5 stars
Eating while watching this,4 stars
Certified banger,5 stars
Im gonna be famous,5 stars
Under hours gang,2 stars
People from Egypt,1 star
blud was pissed,1 star
Bro mill views in a hour,5 stars
The best video ever,5 stars
I am the biggest fan of you,5 stars
hora e views MrsBeast ta falindo,1 star
The best,5 stars
I want money to buy guitar,5 stars
Any one,1 star
welcome to egypt bro,5 stars
A bought a property in Egypt,5 stars
Now the Paris catacombs,5 stars
Egyptology is pure,5 stars
Bro is crazy,5 stars
Tariq trying to play politics innit USA stands with Israel,1 star
escribe is crazyyyy,5 stars
a great videooo,5 stars
views in mins is crazy,5 stars
These pyramids are older than islam,5 stars
atp been,4 stars
This is the best video they made,5 stars
seconds from perfect,5 stars
Why they build another,5 stars
Under an hour gang,1 star
For an Egyptian it is very impressive,5 stars
Poland,5 stars
HOLY IM THE EXACTLY LIKER,5 stars
Beast put a beast toy under the lion beast,5 stars
So great,5 stars
I wonder how much you gave the Egyptian government,2 stars
Me watching this at,5 stars
Take me back to Egypt,1 star
Under century,2 stars
First person to finish the,5 stars
Can I get Fastpiles chocolate in Yemen,5 stars
Escribe for a cookie,4 stars
Best video yet wait for the I Went to,5 stars
So,3 stars
I Eagyption,3 stars
W H Y W A S N O L A N L E F T B E H I N D,3 stars
I bought a property in Egypt Ahh,1 star
Under a,3 stars
I cringed Everytime you guys were yelling or talking loudly inside of this great,5 stars
Who is here under two,1 star
kind of early,3 stars
sure that two days later they will take out the gold they put,3 stars
Nothing special was shown after all,2 stars
Assasins Creed,5 stars
Come to mrbeast,5 stars
bought a property in,5 stars
I had to take a Xanax just to watch this video,1 star
In it is the mother of the,4 stars
Bright vidoe is alot more in depth,4 stars
Watching from Egypt,4 stars
This should be a whole documentary,3 stars
Karl not Was so so funny,2 stars
our civilization,5 stars
going to Egypt,1 star
Who thinks jimmi is the best youtuber,5 stars
Proud to be,5 stars
I am from Egypt welcom,1 star
Who is from Egypt,1 star
group of less than hours here,1 star
welcome to egypt,5 stars
Wow best video,5 stars
where are the Indonesians here applause,1 star
Nice to see you in Egypt,5 stars
Im famous,5 stars
All i Can say is this is crazy,5 stars
I ALREADY WENT THERE OMGGG,1 star
Omg bro crazy,5 stars
THIS IS THE CRAZIEST VIDEO EVER,5 stars
Under here,2 stars
can literally buy anything,5 stars
Under gang,1 star
I literally lived in Egypt,1 star
This is,5 stars
and also Egyptian,1 star
I wish the video was longer to see the pyramids better,3 stars
How much all this cost,5 stars
From here Egyptian Or Arabic,1 star
what,5 stars
million views in hours is crazy,5 stars
bro put hours into mins,4 stars
Under hours,2 stars
Under two hour gang,1 star
We need to find Nolan a girlfriend,4 stars
Who feels sry for Noah,3 stars
You bought a property in and what did they do to you that they gave you the property,5 stars
Great,5 stars
As an ancient egyptian I can now tell the lore bill cipher persuaded us to make these pryimids,5 stars
Exactly Even I think this was one of the best knowledgable video you guys have ever,5 stars
million view gang arrow,1 star
Billion views incoming,1 star
Yo this is super old,5 stars
After a long,2 stars
bought a pyramid in egypt still ahh video,5 stars
It is,3 stars
It me,3 stars
Under gang here,5 stars
Pharaoh is chasing you,5 stars
Next Video I Spent hours in Space,4 stars
As one of the pyramids this is so cool,5 stars
Iam from Egypt,1 star
This must of cost a decent,4 stars
I think he bought property in then they gave him the property,2 stars
Iam from Egypt,1 star
from Egypt is praying for,5 stars
the Egyptian language is funny in the video,4 stars
I am from Egypt,1 star
Aliens built that forsure,1 star
still,4 stars
so thats why u rented the pyramids for hours,3 stars
Your videos are the,5 stars
The concept is why not making it more serious tho,3 stars
This is so historical,5 stars
How they get out from pyramids,5 stars
People who has watched bast,1 star
I got the gold from the temple lol do u want it,5 stars
I am egyptian Is that fayoum,1 star
Your the best,5 stars
brain eating ameba,1 star
is that realy,1 star
I am Watching from Pakistan,1 star
Hy am semira from ethiopian,1 star
imagine your history teacher used this video to teach you about the history and culture of Egypt that would be amazing,5 stars
Palestine is free,5 stars
Why your logo so missaligned,1 star
Under years,5 stars
bought a property in ahh,5 stars
This video is insane lol,1 star
Team,5 stars
This was an awesome video it would be amazing if you could get access to the other pyramids around the world especially the one in Antarctica or the Grand Canyon,5 stars
This is crazy,5 stars
I am from Egypt,1 star
I was at pyramids today and wondering inside,5 stars
What,5 stars
ALO VAR MI BEN YAZA,5 stars
This is crazy,5 stars
Maybe Aliens did build the I think their backs are messed up because of the crawling through the,2 stars
conspiracy theories in,1 star
WE SAWA VIDEO IV THE PYRAMIDS BEFORE IN THE PYRAMDS BEFOREGTA,3 stars
First time frosting first time frosting Christine,1 star
been their amazingg,5 stars
They all made history,5 stars
I think I saw the helicopter I was near there and saw a helicopter which common,3 stars
Under hours,2 stars
tutorial how to take your life to the next level,4 stars
after spent hours in,3 stars
Love how we preserving the history,5 stars
They swim in still water,3 stars
I always get the notification hour late,5 stars
great production with lack of,4 stars
Actually crazy,1 star
Under hours gang,2 stars
as an this was interesting to,4 stars
Me who still thinks that it was still water and the brain eating amoeba could be in them,3 stars
army less than an hour,1 star
Here to Check the Who,4 stars
love you Bangladesh the,5 stars
I thought you were busy with,3 stars
As a police officer I will arrest you for climing on piramides,1 star
Is that still water,3 stars
Commenting cuz birthday,4 stars
Mrbeast will buy Egypt in the next video,1 star
write to,5 stars
we escribed mistara biast,1 star
I wouldnt recommend stepping in still water but atleast their protected,3 stars
Mrbeas this erowni ban hungry,1 star
I am very porr,3 stars
So much time to see this amazing But you just said no,5 stars
I love this,5 stars
Egypt is cooking,5 stars
I believe you stayed in,5 stars
bit of a shameless plug every seconds,1 star
OMGGGGG,3 stars
How much did it cost,3 stars
Thats the craziest video ever,1 star
hour gang from,1 star
bro foot,3 stars
Cameraman always the first,5 stars
Cool,5 stars
Its great,5 stars
Under seconds gang,1 star
hours here,5 stars
UNDER hour,1 star
Nolan fan club,4 stars
Iam from Egypt,1 star
ive bought a property in egypt ahh place,1 star
money allows you to do anything,5 stars
Bro next vid is I have bought the pyramids,3 stars
No pharaoh or king has ever been found in a,1 star
Love the energy of the Egyptian guides with you,5 stars
Literally too much money,1 star
Just come to ethiopia,5 stars
Under one hour gang,1 star
Egypt mother of world,5 stars
Love from Bangladesh,5 stars
isnt that still water,3 stars
This is amazing,5 stars
Whatever your pharaohs built in the they used our and your life depends on our Ethiopian Abay Your pharaohs were nothing without our and your future is also dark without Ethiopian Abay,5 stars
People over hour,1 star
The Mummy,5 stars
how do I This is the best video,5 stars
PERFECT TIME TO LEARN ABOUT ANCIENT,5 stars
Its alot older then it was used as a electric conductor,3 stars
How much money did you spend,1 star
Make a video where you spend days in the wondrs of the world,5 stars
Doing what most cant and documenting it for the whole world to I LOVE IT,5 stars
Erovnie what,1 star
been inside the smallest pyramid,1 star
Welcome from Egypt,5 stars
Great exploration,5 stars
Egypt is the best,5 stars
bro bring me there,5 stars
Who loves MeBeast,5 stars
Book of ra,5 stars
hour club,5 stars
Mrbeast billionaire,5 stars
this is by far the best and funniest video ever,5 stars
Next bros boutta spend hours in area,5 stars
i hope this causes him to be cursed,1 star
Mrbeast come,5 stars
I am proud of being Egyptian,5 stars
not what the aliens made it,2 stars
I m Famous,5 stars
yo under hour egiptians must have been very,2 stars
What how,5 stars
Where are the,3 stars
Under a hour,1 star
flying from Turkey to Egypt for to find this gold inside of,5 stars
I am Egyptian,5 stars
Bro bought a Property in egypt,1 star
bro is an actual pharaoh,5 stars
You should explore the Great Wall of China next for hours,4 stars
you bought a property in egypt,1 star
Dis cool,2 stars
K the body of phrough or ferran is might be located din europe,3 stars
Under one hour,1 star
Under hours gang,2 stars
M subs,3 stars
Graham Hancock has entered the chat,4 stars
As an this is the first time I see and hear about the things shown in this this is one of the best videos ever,5 stars
I,5 stars
ok what I was just learning about Egypt in history a few weeks,3 stars
how much did bro pay for this video,1 star
Pyrmids were power sources and landing places for aliens,4 stars
Last was parsonal,3 stars
I see this every month,5 stars
Great video,5 stars
Still water,4 stars
hour,5 stars
Putting a hundred hours in the pyramids into a video is crazy,5 stars
Bro bought a property in Egypt,1 star
OLANLAR,3 stars
Still,4 stars
Bro bought a property in egypt,1 star
I wish I can take these Festivals,5 stars
Wow I got tears hearing how old that pyramid you went into in the How exciting you got to be there and,5 stars
bro got brain eating amobea,1 star
Theorists has joined the,4 stars
Who is just watching after an hr,1 star
was the start of the video,4 stars
Who is planning to come and visit Egypt after this,5 stars
Welcome to Egypt for All people,5 stars
Woow i love this video,5 stars
hour ago Million View,5 stars
How much did It cost You for hrs permission for exploring in,3 stars
I need money,1 star
hour ahh,1 star
You can come to Iran and be amazed by seeing,5 stars
Thanks for subscriber,5 stars
Egipto is nice,5 stars
Over a hour,1 star
We want the long version of this,4 stars
Thanks for k subscriber,5 stars
This is so cool i been watching you videos for the past years and this is the best one yet,5 stars
Creed Origins ahhh,3 stars
The pyramids were built using limestone and granite some weighing as much as tons,3 stars
Under hour gang mom,1 star
hour gang Edit mom,5 stars
Bro this is soooooo cold brooooooo,1 star
im and egyptian so this vid is really amazing for me,5 stars
million views is one hour is crazy,1 star
Dud he bought the pyramids,1 star
Early,3 stars
How much did you pay the Egyptian government to pay off its debts bro,1 star
Muslims after,1 star
pls collab with me pls pls pls pls pls pl s,4 stars
Jai Shree Ram,3 stars
This video was very nice and,5 stars
Thank you very much for this wonderful,5 stars
Our president love money very much,5 stars
I bought a property in Egypt,1 star
This ist so cool,5 stars
Thank you mrbeast,5 stars
Under an hour,1 star
Under hours,2 stars
I might swerve bend that corner woawoh,3 stars
What did bro do to gain access,5 stars
Bro rented a property in and also under hour,1 star
i wait for the beast games finale,4 stars
that guys definitely going back down into the sphinx and retrieving that gold thing worth,5 stars
from Egypt,5 stars
here within a,5 stars
since your can somehow gain access too the gain access to area,4 stars
to ten caly pan,1 star
Poland before egyptian,5 stars
Poland is the best,5 stars
This is so And ancient I love Egypt stuff this is great,5 stars
From reading the dictionary to controlling the Pyramids of Giza,5 stars
are,5 stars
Caught in one hour One hour gang,1 star
Bro bought a property in egypt,1 star
CYC code in Fortnite store,5 stars
I imagine how much u have paid to be allowed to do this special,5 stars
Under hour hand,2 stars
Under a hour gang,1 star
we need Feastables in,4 stars
In Polish your translator has missed a letter in the description of this Send him on improvement plan,1 star
hour clan,5 stars
Who loves the,5 stars
Only million in a hour bro is falling off,1 star
We Saw Pyramid Video Before Gta,3 stars
I am Egyptian,5 stars
HE IS CRAZY,5 stars
old but new here,4 stars
early,3 stars
You Is Best youtuber MRBEAST LOVE YOU,5 stars
Thank you brother This is a great,5 stars
in Egypt rn lol,5 stars
The best video,5 stars
Thanks for no,1 star
from Alexandria welcome to egypt,5 stars
Are there any,1 star
If its not a still they are alive,3 stars
Still,4 stars
I love,5 stars
The first thing you say is going into the tombs of the great When no body has ever been found in a pyramid and many modern archaeologists think older than,4 stars
Welcome to Egypt,5 stars
Packing an hour exploration of the pyramids in mins is crazy,5 stars
As an I endorse this message,5 stars
I also watch pyramid video tariq pathan,5 stars
Next is Area for sure,4 stars
here before million,1 star
You are the best,5 stars
This is insane,1 star
There is cameras in,3 stars
The greatest I am proud to be,5 stars
Love from Bangladesh,5 stars
I also want to explore,4 stars
I somehow got unrestricted access to the is just,1 star
Love from,5 stars
Smart move by government of egypt instead of fighting the theory of aliens didnt made pyramid thru news and They just passed the message to future generations of world in one,5 stars
There are people who take a selfie on the He was caught by the police,1 star
Habibi come to Egypt,5 stars
The Almighty,5 stars
the music,5 stars
SOMEONE is def stealing the gold,1 star
The piramid so beautiful and i believe alien built this think,5 stars
let me try it,3 stars
can i get a chance to come in your,3 stars
I would love to see you sail to the of the in a sturdy,5 stars
Bro play amenti in irl,4 stars
What a great indeed,5 stars
hours in area,4 stars
that gold gonna be HEHEHEH,1 star
You should visit the city of Luxor in Egypt on your next as it contains of the monuments,4 stars
VAR MI ALOOOOOOOOLOOOOO,3 stars
I am proud to be,5 stars
Vedio was too short,2 stars
Watch Japanese Naruto VA,5 stars
Definitely aliens,1 star
Nah im flying out to Egypt to get that gold,1 star
this is the best mrbeast video loved it very much,5 stars
toured Kim jong,5 stars
One of the best videos ever made,5 stars
Who see the Lebanese flag,1 star
I am Egyptian and proud of it,5 stars
Spend hours in Indus valley,4 stars
Bro even us Egyptian arent allowed in most of these,1 star
wonder that she is the mother of the Egypt,1 star
I bought a propery in egypt,4 stars
next video u spend hours in space,5 stars
Minecraft olay,4 stars
Amazing content as,5 stars
Mrbeast from Fortnite,5 stars
This is,5 stars
Welcome to Egypt,5 stars
Could you order for,3 stars
A camel Perry the camel,5 stars
Someone who noticed the helicopter had an Indian flag,1 star
This is nice,5 stars
This is the best mrbeast video ever,5 stars
The Pyramids are not,2 stars
Love Bangladesh,5 stars
Ms Beast,5 stars
Under an hour gang,1 star
I learned more here than in history classes,5 stars
Going in and out of the pyramids is the equivalent of leg days those who had been there will,4 stars
i clicked DOWN thumb seconds after seeing zahi hawass,1 star
Egypt is a wonderful place to do extraordinary Because of its vast ancient historical,5 stars
Bro is literally playing irl,1 star
of Egyptians made the pyramid with the help and supervision of NHI,5 stars
How much did you pay the government of Egypt so they will let you wander around the pyramids going inside of them,1 star
Next time we want to excavate unopened tombs you will be amazed and see and hold golden artifacts,5 stars
Here the most civilized in the world meets,5 stars
I am from Egypt welcome to Egypt,5 stars
Brooo it is world record,5 stars
lt was one of the best videos Beast,5 stars
Zahhe is such a,5 stars
best youtuber,5 stars
This makes me want to buy property in Egypt,5 stars
W vid wanns collab,4 stars
I removed concrete and went into the nutty putty cave,1 star
Beast video of the earth,5 stars
Great video Great people Great civilization,5 stars
Does anyone watch Beast,5 stars
Welcome to the strength,5 stars
I watched it with Egyptian Arabic dialect sound track and it was amazing,5 stars
Egypt is the greatest civilization in,5 stars
the video not hrs,1 star
I love this type of videos so just Jimmie and the boys exploring crazy places and having Love you btw Feastables already get to El Salvador,5 stars
at this point he is not even trying,1 star
What about sphinx head Ear,1 star
wow this is really informative,5 stars
Here before this blows up,1 star
Just shows what lots of money can,5 stars
I love Bangladesh,5 stars
Mrbeast if you can do a space tour,5 stars
So how did the bats get into the,3 stars
Dude that small cavern scene with Karl in it made me so,3 stars
Azerbaican there is,3 stars
yea sure thats why nobody was burried in them,2 stars
Egypt made the history,5 stars
how did you do that bro the,5 stars
Aliens of,1 star
Somehow this screams,1 star
I saw the whole video but i was curious to see the tomb of Tut,3 stars
that still,3 stars
Egyptian I love you,5 stars
This is actually a MASSIVE video I believe you got permission to do,1 star
Egypt is very I advise you very much to visit,5 stars
All thanks to Creed origins which beautifully described the ancient Egypt history fan of ancient history,5 stars
I will definitely,5 stars
Egyptian,4 stars
Bro did National Geographic,3 stars
is feastables available in i really wanna try it out,5 stars
How he,5 stars
BEAST CAN I GET,5 stars
the camel bite you,5 stars
What do you think about visiting the ancient Mesopotamian civilization which is the Sumerian civilization the first to invent writing,5 stars
I am proud to be Egyptian,5 stars
Who thought it was aliens,1 star
First,5 stars
Which experience would you want to do,3 stars
He bought a property in,4 stars
On Wednesday I was in the Cheops,1 star
Egypt came then came history,5 stars
I am proud to be Egyptian,5 stars
Just came back from This is,1 star
pyramides have still those who,4 stars
As an this is amazing,5 stars
the body of Khufu was not,1 star
The best video of the pyramids ever,5 stars
Wooow so amazing the magic of Egypt,5 stars
I am proud that I am an Egyptian and one of the grandchildren of the Pharaohs,5 stars
going to egypt for gold,5 stars
There are a thousand reasons that make you very proud to be Egyptian,5 stars
Bro will explore that without me,3 stars
The Great Egypt,5 stars
The best video fr,5 stars
This video will be the pyramid,5 stars
how to escribe,5 stars
Under one hour gang,1 star
This whole video is sketchy Propaganda for,5 stars
MILLION views in Hours This is insane,1 star
